Tabular Random Search,BBO,TRS Error Bar,BBO Error Bar
-0.399944,0.743576,0.0793744,0.0499965
-0.484575,0.704339,0.0996806,0.0651414
-0.468237,0.653634,0.096096,0.045635
-0.459821,0.682584,0.0989877,0.0504378
-0.348376,0.622108,0.0784657,0.0623737
-0.475547,0.703311,0.0927725,0.0573206
-0.473268,0.728529,0.0967649,0.0519063
-0.419242,0.682911,0.0858829,0.0537543
-0.361899,0.674364,0.079785,0.0478063
-0.472942,0.828101,0.103316,0.0522491
-0.399327,0.817765,0.0837786,0.0588678
-0.464216,0.786089,0.0939117,0.0508122
-0.364822,0.85028,0.0721614,0.0538215
-0.307053,0.755121,0.0618737,0.0536401
-0.413469,0.783898,0.0836724,0.0592771
-0.375376,0.765673,0.0819947,0.0577521
-0.318081,0.749546,0.0635547,0.0569218
-0.369202,0.777938,0.0823572,0.0589024
-0.295984,0.749758,0.0583891,0.0609243
-0.38407,0.830973,0.083979,0.04963
-0.404127,0.750241,0.0839265,0.0697228
-0.45164,0.671829,0.0786231,0.0673078
-0.291853,0.651642,0.0695422,0.0605593
-0.352993,0.678246,0.0781064,0.0544918
-0.305244,0.645631,0.0701023,0.0557336
-0.351528,0.699614,0.0796452,0.0621679
-0.34614,0.697977,0.0692992,0.0772856
-0.301759,0.781882,0.0758417,0.0525236
-0.236808,0.773755,0.058803,0.0553893
-0.510917,0.955045,0.109641,0.05368
-0.43923,0.866595,0.0897145,0.0679013
-0.45145,0.815517,0.0995651,0.057867
-0.26956,0.867598,0.0660775,0.0495829
-0.410878,0.806235,0.097126,0.0604929
-0.370746,0.792173,0.0997039,0.0742994
-0.34181,0.910639,0.0744821,0.0425917
-0.309775,0.755999,0.0650559,0.0545463
-0.352643,0.819695,0.0788404,0.050963
-0.342087,0.812504,0.0704609,0.069962
-0.364488,0.795057,0.0777471,0.0510178
-0.471338,0.69713,0.0867166,0.0623306
-0.353656,0.746134,0.082677,0.069863
-0.435345,0.773527,0.0977537,0.0501805
-0.559429,0.645898,0.114972,0.0622609
-0.405938,0.583792,0.0964804,0.0734365
-0.418031,0.783222,0.0899662,0.0664897
-0.504357,0.699267,0.105885,0.0785816
-0.486257,0.675572,0.0903223,0.0690008
-0.403167,0.686213,0.0878515,0.0738853
-0.339314,0.994866,0.077273,0.050525
-0.40796,0.936077,0.093499,0.0596667
-0.506312,0.823792,0.110245,0.0604719
-0.435847,0.964904,0.0977154,0.053342
-0.263444,0.821246,0.0708053,0.0649321
-0.246627,0.803965,0.057979,0.0584018
-0.327057,0.870581,0.0625059,0.0469839
-0.319888,0.874973,0.0718285,0.0462858
-0.592963,0.897774,0.103261,0.0510008
-0.328161,0.875759,0.0652294,0.0610443
-0.25,0.715828,0.0533618,0.0680534
-0.382827,0.80493,0.090124,0.0588148
-0.350545,0.711517,0.0832483,0.0787086
-0.514749,0.851005,0.105569,0.0460548
-0.387791,0.692178,0.0952399,0.0604895
-0.285821,0.724706,0.0553535,0.0520028
-0.439081,0.846695,0.0916212,0.0683278
-0.514945,0.827256,0.110942,0.052799
-0.304979,0.783784,0.0761204,0.0539528
-0.27136,0.862227,0.0810923,0.056532
-0.419277,0.930863,0.0800044,0.0532255
-0.528196,0.889907,0.0993915,0.0681176
-0.460788,0.86197,0.089954,0.055957
-0.438216,0.918465,0.0903776,0.0580149
-0.49965,0.831137,0.0879297,0.0674053
-0.432004,0.994314,0.0860741,0.0542444
-0.461246,0.842228,0.0891277,0.0615548
-0.530961,0.839949,0.100804,0.0586804
-0.376271,0.849455,0.0892169,0.0512799
-0.421972,0.892781,0.0902339,0.0592457
-0.305111,0.77693,0.0641851,0.0589178
-0.246864,0.824431,0.0665574,0.0543208
-0.311662,0.841299,0.0744815,0.0447812
-0.215897,0.850431,0.0484602,0.0559227
-0.210393,0.733951,0.054356,0.0575393
-0.346413,0.706741,0.0859292,0.0679709
-0.309161,0.918707,0.0708556,0.0618948
-0.23917,0.805181,0.0546871,0.0720676
-0.256998,0.883603,0.0609189,0.0513474
-0.23285,0.759112,0.0494672,0.0695974
-0.396808,1.01287,0.086391,0.0620657
-0.25526,0.902469,0.060333,0.071882
-0.392375,0.96632,0.0751718,0.063798
-0.336248,0.885331,0.0764207,0.0616956
-0.264672,0.899381,0.0781928,0.0707946
-0.342114,0.909885,0.0773957,0.0602399
-0.446437,0.939029,0.0924295,0.0634616
-0.340744,0.773694,0.0796338,0.0736378
-0.273514,0.945515,0.069486,0.0556452
-0.281089,0.827668,0.0616333,0.0683591
-0.449253,0.811329,0.105446,0.0622921
-0.39792,0.90599,0.0898359,0.0531074
-0.341811,0.867396,0.0750519,0.0555261
-0.329653,0.886291,0.0706577,0.0582104
-0.349223,0.783992,0.0833568,0.0661116
-0.411595,0.83368,0.0914988,0.0512217
-0.406227,0.88466,0.100337,0.0605543
-0.309455,0.913003,0.0832679,0.0600841
-0.403206,0.790601,0.0835547,0.067938
-0.434911,0.825074,0.100874,0.0634932
-0.388118,1.01491,0.071705,0.0650123
-0.336467,1.05151,0.0668623,0.0566132
-0.445317,0.997345,0.0950792,0.0538839
-0.365812,0.945748,0.0772239,0.0701393
-0.481767,1.04131,0.100364,0.0575235
-0.443578,0.950927,0.0948087,0.0601705
-0.475316,0.958425,0.0945488,0.0600161
-0.562972,0.906631,0.0975801,0.0588127
-0.337726,0.932024,0.0726373,0.0601124
-0.541749,0.951049,0.111942,0.0692997
-0.352439,0.92148,0.0804247,0.0609531
-0.461414,0.823707,0.0822632,0.0678379
-0.355055,0.892298,0.0680977,0.0612337
-0.52568,0.817863,0.110003,0.075942
-0.34344,0.791446,0.07603,0.0662726
-0.494782,0.869336,0.100539,0.0595298
-0.378543,0.926164,0.0812543,0.0669882
-0.375823,0.840406,0.0728443,0.067886
-0.340761,0.780505,0.0667144,0.0586836
-0.526586,0.88189,0.109371,0.0608678
-0.509025,1.03115,0.100949,0.0648366
-0.360097,1.07147,0.0749783,0.0741403
-0.36716,0.983089,0.0713521,0.0578052
-0.313592,0.951437,0.0637385,0.0580156
-0.492379,0.96206,0.0948983,0.0631965
-0.388061,1.00141,0.0777855,0.0570972
-0.489134,0.958882,0.0910139,0.0574484
-0.360279,1.01173,0.0784847,0.0641793
-0.539065,0.916276,0.109442,0.0748312
-0.362063,1.00207,0.0788027,0.0619016
-0.326904,0.99211,0.066423,0.0657661
-0.442338,0.919555,0.0943167,0.054838
-0.379447,0.808827,0.0672092,0.0740953
-0.269646,0.854568,0.06524,0.076673
-0.454061,0.881354,0.0858854,0.0745021
-0.294092,0.927664,0.0568039,0.0502675
-0.350197,1.03415,0.0722891,0.0481378
-0.399584,1.00287,0.0859436,0.0601831
-0.262336,0.911285,0.0658521,0.0641901
-0.554222,0.910978,0.10612,0.062101
-0.380866,1.13756,0.0886271,0.0573663
-0.297382,1.11164,0.0680033,0.0574687
-0.400461,1.03189,0.0933381,0.0673901
-0.384544,0.894366,0.079612,0.0902647
-0.389681,1.03477,0.0840911,0.0599809
-0.389182,0.960111,0.0770203,0.0657622
-0.405394,1.02131,0.0778791,0.0681266
-0.280016,0.980749,0.0623128,0.0720366
-0.310945,0.996997,0.059357,0.0572136
-0.328728,1.06728,0.0727564,0.0585984
-0.334846,0.946086,0.0710503,0.0596409
-0.351863,1.07485,0.0781562,0.0652121
-0.426585,0.956212,0.0939869,0.0587686
-0.28534,0.925223,0.0675246,0.07194
-0.426758,0.926542,0.0849492,0.0560402
-0.374893,0.893146,0.0882623,0.0647734
-0.357949,0.981259,0.0694422,0.0639171
-0.218809,0.869937,0.051623,0.0932765
-0.325205,0.906536,0.0618911,0.0691961
-0.209841,0.905556,0.0449995,0.0700872
-0.332585,0.922217,0.0669391,0.0957686
-0.39962,1.10097,0.0809034,0.0574312
-0.444331,1.10012,0.0844296,0.0663605
-0.488484,1.01315,0.0850435,0.0718313
-0.51244,1.08092,0.0844611,0.0638299
-0.583107,1.19283,0.116185,0.0632561
-0.591678,0.995562,0.110155,0.0659119
-0.52955,1.00885,0.103371,0.0612639
-0.31619,1.01501,0.0675705,0.0752591
-0.569647,1.13273,0.118439,0.0505016
-0.272454,1.07485,0.0613038,0.0552384
-0.298481,1.06422,0.0769905,0.0601439
-0.378525,1.00749,0.0683582,0.0697729
-0.324177,0.940157,0.0715042,0.0712934
-0.253246,0.918214,0.0634727,0.0550894
-0.429167,1.05798,0.0970955,0.0495405
-0.267083,0.936185,0.0666866,0.0698579
-0.311607,0.995059,0.0751408,0.0711332
-0.263939,0.936506,0.0711,0.0569014
-0.296082,1.03496,0.0662701,0.071096
-0.519715,1.0543,0.105616,0.081269
-0.387064,1.13603,0.074584,0.0668259
-0.347495,1.10746,0.0652055,0.0663686
-0.492413,1.09121,0.107234,0.058283
-0.308246,1.02894,0.0639828,0.0684989
-0.419691,1.09333,0.0886145,0.0621097
-0.413454,1.06887,0.098322,0.0622899
-0.368616,1.18912,0.0795166,0.0478232
-0.317782,1.08435,0.0729145,0.0712892
-0.41087,1.06188,0.0978331,0.063076
-0.235116,1.06164,0.056154,0.0529785
-0.487712,0.977984,0.0985059,0.0629776
-0.373668,1.03924,0.0809169,0.0551872
-0.387849,1.06481,0.0881404,0.0576406
-0.324349,0.989873,0.0600276,0.069569
-0.501798,1.10547,0.0943842,0.0532144
-0.280394,1.15777,0.0505655,0.0573248
-0.362488,0.927529,0.0847683,0.0783907
-0.328053,1.05712,0.0622467,0.0561408
-0.467498,0.992386,0.0918437,0.063163
-0.495251,1.20605,0.104542,0.0673496
-0.339609,1.24613,0.074913,0.0572167
-0.343192,1.14967,0.0723285,0.0859803
-0.385713,1.10545,0.0847015,0.082767
-0.353122,1.17485,0.0788461,0.0512593
-0.286611,1.19304,0.0671126,0.055796
-0.358985,1.16298,0.0869802,0.0528462
-0.368528,1.09161,0.074844,0.0553271
-0.263286,1.0855,0.0653803,0.0708947
-0.345346,1.17598,0.0703174,0.0581074
-0.351702,0.966006,0.083205,0.0842963
-0.408238,0.825468,0.084844,0.0988769
-0.42562,0.879494,0.0871827,0.0851206
-0.247527,1.04168,0.0517611,0.061026
-0.37137,1.02057,0.0844894,0.060717
-0.337454,0.909892,0.0710818,0.0756831
-0.492114,1.13429,0.0941588,0.0642723
-0.448021,1.10803,0.0860453,0.0701067
-0.504984,1.12527,0.102295,0.0646103
-0.350654,1.07669,0.0662511,0.0595232
-0.366315,1.0077,0.0841941,0.0901959
-0.547525,1.27299,0.105831,0.071494
-0.234049,1.26748,0.0638949,0.0500093
-0.393397,1.19856,0.0825629,0.0543635
-0.376044,1.1725,0.087426,0.0649632
-0.32342,1.13874,0.0776731,0.0685637
-0.239962,1.18116,0.0691637,0.0707816
-0.332906,1.13911,0.0699028,0.0631053
-0.319378,1.1577,0.0654316,0.0576931
-0.420973,1.19091,0.0944341,0.0724848
-0.293953,1.07934,0.0666413,0.064003
-0.292335,1.11027,0.0645045,0.0636306
-0.324138,1.02524,0.0666051,0.0834101
-0.483873,1.14426,0.105355,0.0589694
-0.398596,1.05176,0.0836345,0.0675349
-0.376253,1.04954,0.0732893,0.0754292
-0.398378,1.07889,0.0982187,0.0691342
-0.312595,1.153,0.0574232,0.0667701
-0.387892,0.982221,0.0824911,0.0709873
-0.357814,1.15653,0.0752035,0.0587776
-0.222339,1.28516,0.0503334,0.0698732
-0.375965,1.35519,0.0713595,0.0592031
-0.253466,1.26296,0.0518741,0.0686672
-0.393122,1.29678,0.0792521,0.058945
-0.234026,1.31399,0.0573653,0.0485244
-0.452813,1.15668,0.0969756,0.05781
-0.356878,1.23692,0.0722296,0.0606606
-0.270136,1.18431,0.0512315,0.0736735
-0.422401,1.218,0.0773523,0.0610668
-0.319352,1.17153,0.0637964,0.0596833
-0.453739,1.14447,0.108357,0.0787226
-0.403986,1.12341,0.0877774,0.0749858
-0.197532,1.04084,0.0536437,0.0682556
-0.378403,1.12381,0.0823894,0.0747982
-0.270531,1.11508,0.0499467,0.0558074
-0.249563,1.05629,0.0525365,0.0655362
-0.311739,1.21451,0.0736048,0.0582584
-0.295319,1.26622,0.0658772,0.072169
-0.359666,1.15731,0.0705153,0.0604516
-0.224472,1.21808,0.0563821,0.0604145
-0.357245,1.43124,0.07936,0.0580501
-0.291851,1.40249,0.0569095,0.0569342
-0.296997,1.15464,0.0748297,0.0797588
-0.324853,1.34602,0.06999,0.0594008
-0.396069,1.17302,0.0827241,0.0749782
-0.399784,1.40365,0.0936709,0.0537133
-0.332257,1.25485,0.0714176,0.0650684
-0.394693,1.31234,0.0864086,0.0514292
-0.456199,1.12654,0.0929536,0.0713143
-0.314246,1.18016,0.0704044,0.0720461
-0.403792,1.20183,0.0876851,0.0653171
-0.318365,1.19219,0.0691377,0.0581864
-0.387067,1.13955,0.0872728,0.0661565
-0.395188,1.18987,0.0960184,0.0649601
-0.334889,1.22405,0.0757399,0.0527824
-0.60194,1.20946,0.115636,0.0676324
-0.367539,1.23319,0.0786263,0.0762013
-0.325767,1.20696,0.0748993,0.0657725
-0.488865,1.248,0.104214,0.0603686
-0.50863,1.14849,0.106953,0.0678387
-0.405227,1.35566,0.0760176,0.0716494
-0.437243,1.29024,0.0937291,0.0698787
-0.411413,1.29359,0.0852469,0.0659484
-0.378673,1.34177,0.0754962,0.0725131
-0.395481,1.27697,0.101315,0.0614906
-0.426453,1.28266,0.0692053,0.0657666
-0.507307,1.32049,0.0997459,0.058632
-0.43921,1.22032,0.0907672,0.0735637
-0.48787,1.33561,0.103242,0.0550715
-0.603625,1.22826,0.119058,0.0763884
-0.431135,1.28253,0.0935552,0.068032
-0.413118,1.22547,0.0817556,0.0713367
-0.315354,1.28602,0.0608041,0.0560063
-0.359357,1.13884,0.0726192,0.0825296
-0.367489,1.27698,0.0848967,0.056144
-0.475073,1.24929,0.0922802,0.0651028
-0.441572,1.22558,0.0876857,0.0590321
-0.399127,1.17466,0.0828833,0.0673438
-0.360128,1.27216,0.0772927,0.0636763
-0.501645,1.24967,0.101268,0.0563763
-0.269074,1.35001,0.0566257,0.0784396
-0.514119,1.33063,0.0980249,0.0665478
-0.397675,1.40795,0.0825389,0.0610169
-0.271072,1.36642,0.0727854,0.0647853
-0.442764,1.24021,0.0984917,0.0811622
-0.392624,1.37913,0.0915017,0.0575859
-0.45681,1.26229,0.0926839,0.067342
-0.371521,1.32167,0.0737309,0.064759
-0.474238,1.35874,0.112462,0.058197
-0.348338,1.18636,0.0785982,0.0807084
-0.353735,1.19395,0.0700403,0.0713552
-0.514269,1.19918,0.0934594,0.0727902
-0.450471,1.22855,0.0815309,0.0636238
-0.328743,1.20158,0.0777391,0.0692395
-0.401095,1.21531,0.0792955,0.0758065
-0.416278,1.23875,0.0880182,0.0805093
-0.447037,1.3118,0.0903636,0.059641
-0.405607,1.24986,0.0765013,0.072077
-0.420679,1.31834,0.076889,0.0672484
-0.525831,1.31121,0.101846,0.060013
-0.344219,1.47998,0.0820555,0.055087
-0.344916,1.42355,0.074321,0.0601707
-0.281802,1.41898,0.0633856,0.0629602
-0.311172,1.28892,0.0674991,0.0700861
-0.209894,1.44161,0.056017,0.0628027
-0.38899,1.3372,0.0844566,0.0713007
-0.277748,1.34705,0.0587682,0.0561682
-0.337206,1.24904,0.0752422,0.0830569
-0.321273,1.23908,0.0708119,0.0919462
-0.292456,1.31469,0.0581019,0.056663
-0.421579,1.38077,0.0789378,0.0551078
-0.32985,1.18217,0.0706847,0.0837753
-0.280848,1.24071,0.0678553,0.0762933
-0.292983,1.25063,0.0717265,0.0778597
-0.393338,1.22267,0.0826721,0.0625385
-0.368009,1.22276,0.0841921,0.0688378
-0.437035,1.28664,0.0908163,0.0696837
-0.425339,1.36552,0.081881,0.0673542
-0.43467,1.18054,0.0923651,0.0893291
-0.409837,1.21428,0.0846776,0.0867436
-0.377616,1.49081,0.071228,0.0524712
-0.248682,1.38576,0.0473232,0.0676796
-0.302625,1.41568,0.0663032,0.0749852
-0.272914,1.40903,0.0686131,0.0865861
-0.32181,1.38104,0.0786503,0.0682889
-0.278769,1.3286,0.0573792,0.076031
-0.33856,1.45214,0.0867447,0.0584822
-0.346422,1.43284,0.0669327,0.0572083
-0.318715,1.25958,0.0707427,0.0767371
-0.275508,1.30003,0.0604697,0.0691578
-0.266821,1.34349,0.0755151,0.0666508
-0.365877,1.28829,0.0882737,0.0646369
-0.361885,1.29892,0.0793468,0.0743212
-0.420653,1.28137,0.0879691,0.0716518
-0.345169,1.29824,0.0870418,0.0565725
-0.30781,1.28647,0.0700537,0.0672678
-0.315412,1.36318,0.0661702,0.064258
-0.324587,1.42015,0.0703489,0.0677724
-0.41602,1.32286,0.0866308,0.0753236
-0.266514,1.36503,0.052772,0.0608551
-0.378778,1.36631,0.0719067,0.0849251
-0.263958,1.54815,0.05772,0.0676811
-0.366878,1.67399,0.0801507,0.0501272
-0.404189,1.48333,0.0808924,0.071284
-0.407364,1.51561,0.0850303,0.0583251
-0.367673,1.42227,0.0821785,0.0601136
-0.397916,1.35042,0.0851101,0.07614
-0.347724,1.4631,0.072282,0.0686137
-0.433526,1.3845,0.0797918,0.0654695
-0.413232,1.35942,0.100101,0.067131
-0.340221,1.40639,0.0741168,0.0604722
-0.354129,1.36072,0.0727723,0.0611869
-0.295173,1.29966,0.0606334,0.0767218
-0.35067,1.34945,0.0694397,0.0766037
-0.263542,1.21845,0.0553248,0.0792058
-0.240292,1.26178,0.0538297,0.0689139
-0.353559,1.36643,0.0758039,0.0567738
-0.346895,1.4671,0.0688265,0.0678113
-0.451353,1.28093,0.0818344,0.0866594
-0.303326,1.34089,0.0576389,0.0719289
-0.414941,1.54805,0.0866143,0.064142
-0.43427,1.41759,0.0926007,0.0754395
-0.390737,1.53631,0.0868436,0.0598063
-0.47148,1.56284,0.0889466,0.0621976
-0.394892,1.47795,0.0787598,0.0661676
-0.403646,1.50043,0.0949924,0.0626578
-0.521298,1.52013,0.112039,0.0609841
-0.30155,1.50897,0.0763876,0.0578245
-0.38445,1.48692,0.0815117,0.0610393
-0.349653,1.48353,0.0691083,0.0630274
-0.308077,1.43033,0.0719148,0.0639783
-0.250024,1.31097,0.0540298,0.0746871
-0.29825,1.42921,0.0619146,0.0765321
-0.288487,1.28006,0.0775149,0.0860134
-0.307292,1.27656,0.0694649,0.0735662
-0.341583,1.37894,0.0737583,0.0680655
-0.384593,1.54343,0.0920075,0.0637046
-0.257951,1.61631,0.0671342,0.0569342
-0.377783,1.43251,0.0795152,0.0692713
-0.239815,1.34799,0.0613716,0.0745211
0.419484,1.59906,0.0385948,0.0586126
0.357373,1.48585,0.0633555,0.0766431
0.344924,1.47172,0.0573821,0.0741184
0.275696,1.53151,0.0658462,0.0702696
0.346617,1.52906,0.049112,0.0862219
0.296047,1.64102,0.055,0.0669652
0.438422,1.57726,0.0421373,0.068655
0.381639,1.49623,0.0417569,0.0819131
0.384952,1.38134,0.0657685,0.0987493
0.250735,1.50036,0.0788802,0.0780775
0.34859,1.5112,0.03914,0.0676951
0.346196,1.53147,0.0751098,0.0770676
0.288603,1.58718,0.0439572,0.0620465
0.280425,1.60191,0.065802,0.0708434
0.346931,1.60804,0.049334,0.0581675
0.306866,1.54998,0.0483447,0.061052
0.383544,1.49667,0.0471138,0.0765731
0.302279,1.54855,0.0500628,0.0634701
0.3706,1.51476,0.0448794,0.0711849
0.268226,1.53064,0.0702456,0.0684682
0.383092,1.49526,0.0383478,0.0604724
0.322914,1.50307,0.0693371,0.0832146
0.36112,1.59293,0.0520636,0.0672646
0.27833,1.48601,0.0539731,0.0740004
0.274276,1.52401,0.0605018,0.0771108
0.392263,1.5552,0.0393937,0.0802094
0.470915,1.55741,0.0318651,0.0718489
0.294433,1.4536,0.0630093,0.0795319
0.271315,1.48592,0.0750489,0.0701879
0.476592,1.42249,0.0429773,0.0799534
0.384882,1.50492,0.0484199,0.0787294
0.264053,1.54275,0.0822448,0.0686494
0.356109,1.49937,0.0527545,0.0767603
0.35227,1.60531,0.0602497,0.0556524
0.432498,1.50575,0.0398062,0.0630836
0.259032,1.54831,0.0610511,0.078746
0.40749,1.48491,0.0520066,0.0760921
0.342912,1.61298,0.0879023,0.0653129
0.360424,1.54078,0.0515502,0.0641477
0.379823,1.5619,0.0501637,0.0779848
0.313051,1.60452,0.0632928,0.0593466
0.365709,1.52296,0.0493403,0.0717018
0.409455,1.51902,0.0516657,0.0653311
0.419725,1.55601,0.0594568,0.0758236
0.334184,1.55945,0.0527916,0.0662044
0.383632,1.61878,0.0449036,0.0622299
0.365768,1.5088,0.0582129,0.0787995
0.413627,1.61575,0.0378944,0.0679439
0.369933,1.61857,0.0506247,0.0756644
0.39848,1.55244,0.0354132,0.0733626
0.355736,1.4715,0.0459807,0.07227
0.228735,1.51036,0.0727472,0.0913817
0.417913,1.61396,0.0428063,0.0599003
0.300835,1.51063,0.0700122,0.0639297
0.325997,1.56367,0.0598037,0.0708578
0.365996,1.58421,0.0543061,0.0742691
0.281481,1.52274,0.0577017,0.0733543
0.328745,1.54682,0.0592987,0.0646988
0.418067,1.56326,0.0355751,0.0786277
0.415655,1.44603,0.0492221,0.0756098
0.226414,1.56761,0.054982,0.0626162
0.423008,1.53787,0.046739,0.0731141
0.382605,1.5382,0.0539614,0.0785047
0.339968,1.53715,0.055,0.0682797
0.290436,1.6335,0.0635346,0.062569
0.443417,1.47107,0.0419402,0.071523
0.347785,1.48042,0.0675419,0.0709505
0.378266,1.59149,0.0396233,0.0613199
0.426154,1.5294,0.0430496,0.0690961
0.336857,1.61106,0.0492864,0.060261
0.314191,1.59691,0.0651763,0.0653248
0.344385,1.55711,0.0582177,0.0627811
0.364721,1.5448,0.0491498,0.0688025
0.41453,1.43412,0.0423423,0.0836895
0.370341,1.55013,0.058231,0.0812396
0.312946,1.63475,0.0663222,0.0696671
0.378234,1.54515,0.0433538,0.0768534
0.431685,1.56471,0.0525827,0.0783412
0.377271,1.57702,0.0445671,0.061507
0.431157,1.5325,0.0604191,0.0642237
0.362493,1.52092,0.0594026,0.0824995
0.337013,1.62205,0.0542797,0.0699258
0.317949,1.55382,0.065889,0.0751173
0.343033,1.46757,0.0516688,0.0818043
0.293156,1.49791,0.0627474,0.0643259
0.41938,1.50983,0.0417088,0.079421
0.3529,1.55986,0.0535809,0.0697844
0.288305,1.46959,0.0560808,0.0771778
0.318176,1.60887,0.0561278,0.0615514
0.365421,1.63029,0.0606246,0.063058
0.412059,1.6333,0.0332292,0.0549321
0.310309,1.60951,0.052545,0.063033
0.286181,1.46651,0.0533745,0.0942487
0.392694,1.54357,0.0578917,0.0689722
0.364098,1.6845,0.0600037,0.0604561
0.350411,1.39147,0.0564108,0.0853343
0.37614,1.54518,0.0477391,0.0618528
0.400241,1.5062,0.0476062,0.0794774
0.360913,1.51998,0.0497682,0.064339
0.389674,1.5045,0.0435249,0.0766284
