REINFORCE,BBO,TRS Error Bar,BBO Error Bar
-0.771232,-0.627214,0.0838987,0.0763654
-0.587989,-0.545308,0.0762158,0.0668068
-0.391344,-0.57407,0.0628131,0.0718234
-0.368987,-0.608469,0.0620767,0.0718924
-0.337573,-0.612619,0.0539249,0.0783773
-0.330011,-0.433807,0.0720508,0.0612475
-0.299235,-0.620259,0.0502503,0.0713844
-0.228892,-0.70722,0.0514673,0.0876293
-0.213897,-0.563521,0.0505365,0.0661949
-0.0904236,-0.782226,0.0372203,0.089175
-0.104734,-0.47665,0.0434066,0.0716137
-0.114414,-0.526692,0.0411904,0.0814245
-0.24775,-0.61309,0.0566523,0.0788487
-0.153507,-0.702018,0.0486812,0.0902679
-0.0410705,-0.488913,0.0443106,0.0753231
-0.0621954,-0.539327,0.0400322,0.079341
-0.0091655,-0.643383,0.0390259,0.0883859
-0.0132463,-0.657293,0.0314063,0.0949405
0.00839599,-0.507311,0.027988,0.0631605
0.0298756,-0.571103,0.035278,0.0759264
0.00890434,-0.490274,0.0396149,0.0753421
0.0364915,-0.520438,0.0248984,0.0836855
-0.0206856,-0.46533,0.0370565,0.0671976
0.067707,-0.519736,0.0314392,0.0855595
0.00481227,-0.408314,0.0366943,0.0571118
0.0966065,-0.373118,0.030134,0.0629398
0.12577,-0.429112,0.0300066,0.0734126
0.0777591,-0.483878,0.0446773,0.0684466
0.118087,-0.461113,0.0286442,0.0781309
0.104561,-0.500723,0.0316765,0.0922161
0.172531,-0.344137,0.0261004,0.0563153
0.0952011,-0.449597,0.0402747,0.0778162
0.102499,-0.348306,0.0421952,0.0666841
0.147065,-0.31929,0.0341068,0.0626708
0.163458,-0.3983,0.0282768,0.0664872
0.207943,-0.368537,0.0249077,0.0642676
0.206844,-0.346945,0.0293914,0.0624584
0.204905,-0.3269,0.0303523,0.0678367
0.101473,-0.459512,0.0449982,0.0786085
0.149674,-0.313641,0.027761,0.0714663
0.237234,-0.313738,0.0289574,0.0641716
0.178373,-0.310542,0.0327213,0.0679405
0.248166,-0.249153,0.0372778,0.0590186
0.225662,-0.337537,0.0242148,0.0619785
0.330212,-0.460264,0.0262871,0.0846963
0.298581,-0.344654,0.0328847,0.0546952
0.246468,-0.274883,0.0273345,0.0518445
0.25775,-0.350495,0.0319575,0.0644867
0.331663,-0.246958,0.0322241,0.056163
0.248241,-0.382933,0.0360182,0.0727058
0.282419,-0.310388,0.0352229,0.0575208
0.307254,-0.268375,0.029659,0.0600319
0.342918,-0.212302,0.0314852,0.0469846
0.350935,-0.317604,0.0309785,0.0652761
0.33664,-0.246747,0.0282294,0.0495462
0.324325,-0.259334,0.0316284,0.0508683
0.404464,-0.269852,0.0289641,0.0522917
0.357513,-0.184995,0.0396883,0.0467478
0.395968,-0.384414,0.0365001,0.0731939
0.342295,-0.444579,0.0327304,0.0733607
0.385245,-0.188099,0.0296941,0.0484409
0.36052,-0.241721,0.0324271,0.0676289
0.354802,-0.160231,0.0387076,0.0483307
0.436962,-0.180341,0.0336252,0.04897
0.417173,-0.208126,0.0316933,0.0520551
0.436976,-0.24744,0.0363905,0.055517
0.383361,-0.321832,0.0322429,0.0752676
0.432005,-0.21539,0.0334849,0.0561699
0.464181,-0.141961,0.0299286,0.0318695
0.450447,-0.255992,0.0282939,0.0665487
0.512403,-0.157789,0.0333593,0.0522877
0.497351,-0.169176,0.0333652,0.0494659
0.494952,-0.155365,0.0305237,0.0438265
0.499579,-0.21205,0.0346855,0.0602283
0.515963,-0.244878,0.0302576,0.0494687
0.493107,-0.211377,0.0294473,0.0539477
0.523744,-0.279414,0.0369528,0.0576859
0.552075,-0.160651,0.0350771,0.0380237
0.554623,-0.216436,0.0308096,0.0583957
0.544347,-0.247429,0.0319516,0.0723893
0.55538,-0.232643,0.0336764,0.0521458
0.573408,-0.179603,0.0370206,0.055738
0.56585,-0.25184,0.0346521,0.0728184
0.632808,-0.200924,0.0351834,0.0481519
0.592016,-0.167533,0.0317569,0.0442465
0.618264,-0.23639,0.0364972,0.0578681
0.635051,-0.315845,0.0346293,0.0701338
0.590744,-0.164519,0.0332169,0.0585451
0.633743,-0.19184,0.0349429,0.046217
0.690852,-0.249046,0.0340086,0.0695671
0.624409,-0.196114,0.0326694,0.0461087
0.630148,-0.19147,0.0312701,0.0581698
0.65008,-0.148355,0.0372004,0.0493219
0.671601,-0.304658,0.0357463,0.0712895
0.749117,-0.164011,0.0359477,0.0482793
0.720395,-0.199996,0.0392235,0.0539278
0.715709,-0.196779,0.0347287,0.0484092
0.77762,-0.310446,0.0372653,0.0660774
0.725268,-0.184385,0.0411293,0.0518317
0.680268,-0.15185,0.0340847,0.0461523
0.757176,-0.172996,0.0360819,0.0625365
0.786699,-0.117873,0.0369852,0.0390061
0.72488,-0.212593,0.0368747,0.0566076
0.774521,-0.10875,0.0380216,0.0365222
0.762341,-0.197198,0.0377466,0.0591007
0.777749,-0.109237,0.0383183,0.0459513
0.839809,-0.224919,0.0367076,0.0601269
0.801936,-0.10927,0.0388402,0.0469006
0.800604,-0.121679,0.038894,0.0413592
0.806885,-0.119469,0.043496,0.0413212
0.823779,-0.177945,0.0383948,0.0568492
0.797704,-0.162774,0.0353763,0.0605742
0.850692,-0.13698,0.0376885,0.0582036
0.840929,-0.16231,0.041075,0.0526737
0.893896,-0.17092,0.0392238,0.0645768
0.846752,-0.0581365,0.0373955,0.0311315
0.872633,-0.199561,0.0395125,0.0568897
0.912184,-0.109357,0.0398956,0.0443058
0.856285,-0.211785,0.0364728,0.0544364
0.894537,-0.183711,0.0420741,0.0573106
0.864975,-0.114435,0.0393451,0.0457541
0.925294,-0.21209,0.0389009,0.0556224
0.89276,-0.145535,0.0378238,0.0636781
0.880911,-0.10537,0.0388891,0.0417225
0.907936,-0.142877,0.0435749,0.0640744
0.949027,-0.182966,0.0374865,0.0579752
0.917941,-0.176244,0.0376549,0.0567321
0.968655,-0.13565,0.0405987,0.0500392
1.0035,-0.12231,0.0407775,0.0469947
0.896859,-0.124185,0.0376052,0.0432487
0.901527,-0.0877973,0.0416172,0.0439603
1.00736,-0.171298,0.0395222,0.0542048
1.0045,-0.0736969,0.0399355,0.0454841
0.90431,-0.0710844,0.0438853,0.0365797
0.99624,-0.114147,0.0406117,0.0709696
1.004,-0.157863,0.0424902,0.0513895
1.00493,-0.1847,0.0400686,0.0597091
1.02387,-0.136055,0.0393021,0.057373
1.09808,-0.131358,0.0404646,0.0536136
1.04369,-0.151404,0.0414674,0.0510638
1.11729,-0.0534046,0.0402758,0.0345041
1.09943,-0.129575,0.0405628,0.0645773
1.07377,-0.117397,0.0417644,0.0515801
1.08223,-0.0489691,0.0403605,0.0345106
1.12245,-0.138509,0.0408788,0.0561613
1.13757,-0.128457,0.0420097,0.0550351
1.12273,-0.169614,0.0423366,0.0631153
1.08813,-0.21343,0.0465534,0.0632268
1.1286,-0.27395,0.0425759,0.0821722
1.10325,-0.15142,0.0428407,0.0493693
1.11477,-0.0782789,0.0436652,0.0533444
1.15569,-0.140979,0.0434755,0.0445396
1.17984,-0.0664103,0.0438955,0.0423438
1.13927,-0.052291,0.0433322,0.0313329
1.2192,-0.0477861,0.0425873,0.0417544
1.23586,-0.0632976,0.0420597,0.0408151
1.18994,-0.200154,0.042855,0.0616804
1.19267,-0.116477,0.045231,0.0568219
1.20861,-0.141587,0.0434956,0.0540184
1.21462,-0.0402161,0.0437041,0.0353043
1.17159,-0.0663656,0.0418534,0.0490882
1.18468,-0.0400433,0.0418341,0.0373174
1.2396,-0.128949,0.042869,0.0631577
1.26532,-0.0420845,0.0444612,0.0438201
1.21295,-0.0754902,0.042614,0.0567416
1.2383,-0.0841836,0.0416528,0.0506571
1.27026,-0.143175,0.0432704,0.0689577
1.21552,-0.0985907,0.0433323,0.0491933
1.2725,-0.125667,0.0444862,0.0747506
1.27822,-0.0912687,0.0424217,0.0406432
1.28943,-0.024968,0.044306,0.0423888
1.31064,0.0236233,0.0436707,0.0349334
1.29911,-0.0373297,0.0440438,0.0612272
1.33746,-0.0752534,0.0431927,0.0413947
1.33694,-0.0170006,0.0437526,0.0359862
1.35912,-0.0750206,0.0478225,0.0340956
1.31987,-0.0616057,0.046531,0.0510186
1.33999,-0.0807116,0.046163,0.0487371
1.41236,-0.0920276,0.0487114,0.059596
1.35384,-0.0637207,0.0439251,0.0437039
1.37688,0.00515175,0.0457605,0.0375445
1.42592,-0.0995497,0.0468741,0.0622894
1.40776,-0.137416,0.0438869,0.0640716
1.38571,-0.104302,0.0444733,0.058547
1.39669,-0.0374745,0.0461236,0.0423973
1.4014,-0.121029,0.048913,0.0519074
1.41704,-0.150339,0.0469025,0.0597865
1.40539,-0.148177,0.0433819,0.0542093
1.44784,-0.0729511,0.0441784,0.038984
1.43189,-0.189499,0.0446499,0.078288
1.45373,-0.0224468,0.046229,0.0428617
1.40561,-0.0117393,0.0445758,0.0541845
1.38213,-0.0494722,0.0446159,0.0461534
1.45931,-0.0628532,0.0475756,0.0421676
1.47773,-0.0918374,0.0462005,0.0551392
1.39854,-0.185774,0.0514696,0.0803716
1.48991,-0.102359,0.0474831,0.0524527
1.44357,-0.0558085,0.0529107,0.0522229
1.53414,-0.0480759,0.0457272,0.0614278
1.4063,-0.113805,0.0442733,0.0570407
1.49319,-0.0451826,0.0473323,0.057285
1.4855,-0.0627751,0.0446974,0.0548369
1.47601,-0.0775008,0.0478174,0.0594155
1.50005,-0.0285652,0.0461391,0.0464629
1.56549,-0.0622065,0.046757,0.0605255
1.5069,-0.108689,0.04541,0.063738
1.46678,-0.0127745,0.0468585,0.0446713
1.5443,0.0585307,0.0447916,0.0477961
1.53443,-0.0126675,0.0444864,0.0358793
1.58666,-0.00468114,0.0463408,0.034372
1.58367,-0.0714383,0.0486491,0.0540097
1.6223,-0.148653,0.0472212,0.0702731
1.54967,-0.0804513,0.0466551,0.0471235
1.64862,0.0198476,0.0477647,0.0328551
1.60971,-0.013978,0.0474781,0.0437479
1.60825,-0.0412785,0.0462764,0.0503381
1.62882,0.00991137,0.048219,0.0414115
1.60754,-0.0193522,0.046014,0.0410572
1.63277,-0.138412,0.0469148,0.0646912
1.63798,-0.0243047,0.0472268,0.0482279
1.64551,0.0104553,0.0475255,0.0357329
1.67139,0.0249772,0.0465807,0.0356829
1.64065,-0.0413392,0.0469688,0.0548077
1.68438,-0.0245151,0.0487296,0.0554307
1.67028,0.0153736,0.0469355,0.0367395
1.63769,-0.0607665,0.0490221,0.0589911
1.58554,-0.0696559,0.0496567,0.0514838
1.69855,-0.0643298,0.0492485,0.0521611
1.66767,-0.0203181,0.051839,0.0545863
1.74421,-0.0407215,0.0468979,0.0494339
1.75692,-0.0193472,0.0468779,0.0450226
1.75843,-0.0610435,0.0480172,0.0540399
1.72975,-0.0557194,0.0489402,0.0494528
1.74003,-0.0386367,0.0468628,0.0558649
1.78761,0.00639814,0.0478312,0.0455039
1.73435,0.0530588,0.0488067,0.0373755
1.76617,-0.0172648,0.0546746,0.0500314
1.75222,-0.0178163,0.0476852,0.0459456
1.78054,0.0140085,0.0482438,0.0466079
1.77062,-0.0279103,0.0468222,0.0436193
1.75882,0.0145549,0.0473476,0.0394161
1.81279,-0.0503679,0.0484416,0.0581909
1.77,-0.0484423,0.0477019,0.050401
1.81481,-0.087803,0.0479922,0.0544265
1.86384,0.00495218,0.0494573,0.0430849
1.8589,0.0565627,0.0467745,0.0512517
1.792,-0.0729995,0.0480105,0.05759
1.84374,0.0366967,0.0476924,0.0365226
1.83606,-0.0245945,0.0482496,0.0530862
1.81017,0.000313917,0.0475436,0.0470985
1.85532,0.0188267,0.0489601,0.0497426
1.8269,0.0184637,0.0499907,0.0422563
1.83011,0.0480632,0.0471099,0.0530478
1.79725,0.0109924,0.0475988,0.0458508
1.80001,-0.00207412,0.0490902,0.0514797
1.8472,0.0900187,0.0481997,0.0382124
1.87409,0.0542359,0.0487996,0.0356535
1.89493,0.0416376,0.0471668,0.0420974
1.88891,0.0644842,0.0510976,0.0423103
1.91073,0.100382,0.050107,0.0384604
1.87302,-0.014671,0.0494244,0.058037
1.88478,0.0275368,0.0485713,0.0410689
1.95382,0.0300723,0.0478201,0.0554315
1.84796,-0.0164866,0.0490069,0.0551826
1.90737,-0.00641093,0.0483487,0.0487631
1.93657,-0.0125632,0.0479418,0.0465797
1.90761,0.019616,0.0480803,0.0434517
1.94217,0.00786491,0.0492611,0.0578472
1.95024,0.0941074,0.049485,0.0339006
1.91313,0.0477585,0.049439,0.0449234
1.89165,0.0578175,0.048343,0.048187
1.94421,-0.0103252,0.0484365,0.0592258
1.9316,0.0353826,0.050807,0.0446391
1.92998,0.0673787,0.0513732,0.0534407
1.98756,-0.0133219,0.0501982,0.0540263
1.94799,-0.032466,0.0487277,0.0668397
1.9731,0.0139307,0.049496,0.0448207
1.99156,0.0471697,0.0486561,0.0493558
1.91963,0.00933975,0.0492309,0.0483238
2.01881,0.051623,0.0487648,0.0363821
2.02816,0.100929,0.052745,0.0446955
1.9942,0.0939652,0.049002,0.0403988
2.0335,0.0553833,0.0514357,0.0448945
2.00805,0.0963142,0.0496288,0.0413479
1.96127,0.0633671,0.0499163,0.0383093
2.00748,0.082844,0.0492663,0.0376583
2.01447,0.0286452,0.0488091,0.0450643
1.98613,0.0565024,0.0485286,0.0413773
2.07423,0.0517647,0.0489435,0.0579585
1.9679,0.0105633,0.04949,0.0515038
2.0043,-0.0450138,0.0520534,0.0627216
2.04068,0.0918638,0.0489785,0.045173
2.02866,-0.0364359,0.0496741,0.0540763
2.01222,0.0836432,0.0521597,0.0516435
2.05911,0.0350471,0.0476614,0.0546147
2.0851,0.0552872,0.0495446,0.0430484
2.03676,-0.0564274,0.0488561,0.0605558
2.03209,0.0150216,0.0531294,0.064427
2.09826,-0.0707437,0.0523615,0.0639129
2.14601,0.000305643,0.0480657,0.0572408
2.11107,-0.0440644,0.0520065,0.0631553
2.08666,0.0643634,0.0498909,0.0573981
2.09916,0.114944,0.049425,0.0362089
2.11307,0.0882603,0.0522566,0.0419596
2.09268,0.057583,0.0492591,0.0407668
2.13546,0.0742222,0.0506516,0.0472258
2.11861,0.0108093,0.0497362,0.0612506
2.16812,0.0135827,0.0504702,0.0570631
2.09579,0.0149993,0.0496721,0.0612939
2.15818,0.113404,0.0507501,0.0373651
2.16322,0.0963868,0.0489246,0.0409334
2.14697,0.00443467,0.0487829,0.0636096
2.08665,0.0115073,0.0474814,0.0518258
2.16829,0.0523291,0.0531703,0.0434978
2.13328,0.0436803,0.0505645,0.0480059
2.10049,0.0634539,0.0503763,0.0476831
2.19743,0.103885,0.0495972,0.0366268
2.22515,0.0541869,0.0503651,0.0438544
2.18792,0.0530055,0.0507993,0.0536853
2.15271,-0.00611984,0.0537121,0.0603442
2.16727,0.0874562,0.0540697,0.0472534
2.20258,0.0921211,0.0494065,0.0411769
2.15713,0.000290516,0.0532543,0.0644987
2.2536,0.174521,0.0486012,0.0379702
2.19669,0.129257,0.0499192,0.0481597
2.16218,0.123733,0.0498657,0.0385683
2.23198,0.0452135,0.0496387,0.0495866
2.25778,0.0831967,0.0513829,0.0443045
2.21688,0.127192,0.0493345,0.0458778
2.22993,0.0852564,0.0489656,0.0571714
2.23845,0.0668334,0.0504817,0.0625704
2.22638,0.113401,0.049341,0.045988
2.21285,0.0359633,0.0515777,0.0683629
2.25288,0.0606557,0.0494712,0.0578005
2.2385,0.122532,0.0504255,0.0543135
2.18589,0.0646625,0.0537897,0.0508925
2.18803,0.0111172,0.0523731,0.0587181
2.20021,0.159304,0.0486373,0.0364509
2.22899,0.0578334,0.0486191,0.0587316
2.27561,0.00687145,0.0530776,0.0619677
2.24048,0.101288,0.0501916,0.0402328
2.27578,0.0113991,0.0500676,0.06923
2.28354,0.132911,0.0506429,0.0387159
2.24538,0.0585102,0.0534854,0.053153
2.25602,0.146705,0.0510096,0.0484692
2.29054,0.0774502,0.0498946,0.0502092
2.29163,0.140658,0.0492881,0.0414656
2.30525,0.145534,0.0509648,0.0464335
2.28834,0.141757,0.0516543,0.0320472
2.25655,0.0601536,0.0504957,0.0536946
2.37542,0.0729723,0.0495396,0.0630652
2.27442,0.2044,0.0514416,0.0385986
2.24446,0.00577657,0.0500539,0.0811322
2.27435,0.14628,0.0491748,0.0464871
2.29977,0.115359,0.0511933,0.0537321
2.30788,0.0997352,0.0489732,0.0400657
2.28528,0.0594969,0.0495154,0.06171
2.2548,0.117758,0.0562168,0.0429931
2.27135,0.054467,0.0494406,0.0620324
2.34663,0.0933917,0.051278,0.0473335
2.32767,0.061033,0.0496132,0.0626954
2.31709,0.150141,0.0500391,0.0477407
2.33714,0.0592728,0.0503561,0.055137
2.38234,0.171524,0.0490847,0.0468198
2.30412,0.0662859,0.0517963,0.0647841
2.35679,0.10208,0.0488853,0.0460898
2.3939,0.0874637,0.0504468,0.0507063
2.3898,0.145276,0.0495337,0.063857
2.39813,0.0967394,0.0515978,0.0465032
2.34692,0.163504,0.0491956,0.0491364
2.40363,0.138498,0.0514921,0.0414457
2.40216,0.0191879,0.0491505,0.0608809
2.38087,0.0963977,0.049638,0.0538906
2.39291,0.130026,0.0488729,0.0380079
2.36925,0.0999053,0.0494164,0.0567008
2.41488,0.125709,0.0494959,0.0508553
2.39088,0.157233,0.051156,0.0443618
2.43221,0.0236087,0.0495349,0.057678
2.39187,0.039104,0.0512863,0.055863
2.40458,0.153193,0.0506902,0.0530303
2.37211,-0.0052668,0.0492091,0.0645458
2.44173,0.0435582,0.0488598,0.0624077
2.43488,0.109178,0.0505799,0.0515324
2.38198,0.145579,0.0521804,0.0558334
2.44571,0.155428,0.0499938,0.0441221
2.43945,0.122364,0.050837,0.0482069
2.39386,0.0843468,0.0506298,0.0613687
2.4387,0.101048,0.0496665,0.0611766
2.45536,0.116495,0.0503859,0.0457268
2.44003,0.0705657,0.0503561,0.05189
2.42689,0.195061,0.0488109,0.0454848
2.4558,0.11603,0.0505081,0.052138
2.44066,0.145351,0.0500148,0.0488236
2.52556,0.0946182,0.0501913,0.0549542
2.41108,0.166945,0.050242,0.0434917
2.48464,0.187818,0.0506311,0.0413649
2.51134,0.146524,0.0501462,0.0433002
2.47471,0.0833392,0.050419,0.06656
2.44325,0.191956,0.05087,0.0435315
2.44336,0.0943644,0.0489229,0.0432294
2.44607,0.147643,0.0496084,0.0502564
2.49016,0.121103,0.0500513,0.0538019
2.53336,0.103074,0.0494594,0.0628148
2.42291,0.169474,0.0505023,0.0442821
2.4626,0.104016,0.0494651,0.0603505
2.4027,0.156215,0.0503345,0.0490837
2.54278,0.17931,0.0497158,0.0564691
2.52958,0.242304,0.0481986,0.0425695
2.49364,0.141464,0.0501707,0.0566032
2.49577,0.166848,0.0534602,0.044768
2.47569,0.157967,0.0499231,0.0481873
2.46589,0.107546,0.0503345,0.0688697
2.49044,0.274214,0.0509112,0.0493682
2.4722,0.186484,0.0505245,0.0413983
2.50981,0.120516,0.051396,0.0768466
2.56338,0.179983,0.0507063,0.0475958
2.57904,0.220698,0.0493899,0.0476302
2.40855,0.18428,0.0493559,0.0440841
2.489,0.245084,0.0500961,0.037003
2.47689,0.274165,0.0516036,0.0388802
2.4812,0.0611585,0.0517457,0.074306
2.48597,0.0866719,0.0505251,0.0579107
2.4844,0.211274,0.050821,0.0370541
2.53286,0.159576,0.050464,0.0518956
2.52025,0.169492,0.0541598,0.0546127
2.53938,0.0968843,0.0491481,0.0667369
2.5382,0.158014,0.0531413,0.0406155
2.62891,0.178953,0.0496326,0.0509794
2.59483,0.114607,0.0498691,0.0544476
2.5204,0.146405,0.0506402,0.0526268
2.53988,0.187204,0.049284,0.0518233
2.54395,0.172507,0.0498844,0.0550864
2.52618,0.232547,0.0517958,0.044012
2.60908,0.165176,0.0515061,0.0511708
2.54846,0.23385,0.0496358,0.0448215
2.54841,0.109074,0.0497694,0.061055
2.53065,0.0983961,0.0492303,0.0664034
2.57582,0.174676,0.0501608,0.0483329
2.53494,0.167481,0.0503109,0.0503348
2.54567,0.0939404,0.0496235,0.0712159
2.55616,0.141631,0.052032,0.0611012
2.53426,0.180762,0.0493156,0.050157
2.58712,0.198889,0.0508594,0.0568019
2.50577,0.230962,0.0529212,0.0444352
2.54067,0.14042,0.0490241,0.0556931
2.56042,0.150138,0.0527548,0.0513636
2.53708,0.176044,0.0494073,0.0525667
2.59438,0.206324,0.0522426,0.0477483
2.56644,0.0796507,0.050779,0.0665632
2.57751,0.260875,0.0521253,0.0407818
2.54604,0.249893,0.0497401,0.0483778
2.59414,0.181092,0.0502484,0.0484571
2.64388,0.219909,0.0521432,0.0406628
2.5443,0.215643,0.0505438,0.0575366
2.59985,0.24805,0.0504337,0.0354659
2.63039,0.194076,0.0488956,0.0494945
2.59338,0.257382,0.0499239,0.0444497
2.58416,0.189321,0.0492391,0.0473639
2.60623,0.17978,0.0518224,0.0506609
2.58914,0.246847,0.0490135,0.0442155
2.57845,0.219474,0.0514,0.0503889
2.61084,0.23534,0.0502765,0.0485533
2.63006,0.164462,0.0496138,0.0534854
2.58074,0.238955,0.0520291,0.0531191
2.63733,0.195926,0.0498318,0.056145
2.63197,0.198665,0.0492697,0.0482295
2.64645,0.145997,0.0498094,0.0790214
2.66943,0.249883,0.0517754,0.0457767
2.65258,0.242227,0.0498892,0.0398474
2.62047,0.257272,0.049803,0.0399712
2.58594,0.163548,0.0507214,0.0514637
2.61111,0.229979,0.0497626,0.0439146
2.6458,0.165883,0.0495445,0.0646395
2.63644,0.0453797,0.0514497,0.0794618
2.57493,0.233164,0.049405,0.050471
2.6435,0.108596,0.0499333,0.0666254
2.68426,0.260912,0.0498184,0.0353547
2.66589,0.195129,0.0496009,0.0433837
2.67398,0.0566629,0.0490968,0.0908285
2.68147,0.170092,0.0493301,0.0620804
2.69339,0.232656,0.0508169,0.0447363
2.6,0.1985,0.0511841,0.0527352
2.71398,0.20353,0.0488703,0.0488397
2.61663,0.164024,0.0504067,0.0544236
2.67339,0.210152,0.049715,0.0525391
2.68532,0.255848,0.0520927,0.044344
2.67326,0.208174,0.0496403,0.0595822
2.65152,0.269035,0.0512064,0.0545128
2.63121,0.088613,0.0503987,0.0811475
2.66446,0.240533,0.0506279,0.0427233
